player,strengths,weaknesses,h,w,p,school,c,draft_class
Rudy Gobert,": Gobert has an amazing (7-foot-9) wingspan combined with a skinny but athletic frame … Coordination and ability to run the floor are above average for a big man  … His agility and reflexes make him a solid athlete, even by NBA standards … He has a reliable hook shot with his right hand plus he has good instinct for the put back … Shot shows solid touch, giving him nice potential to develop further offensively … He’s really fast running the floor, and when he has momentum he’s difficult to stop, thanks to his speed and coordination … His mobility makes him difficult to guard for opposing bigmen, especially in pick and roll situations, often generating mismatches … His wingspan allows his team to put defensive pressure on opponents …Rim protector. His length disrupts passing lanes and he makes the basket difficult to reach for opposing guard’s penetrations … He has good timing for blocks, thanks to his agility and coordination … His length makes him a formidable presence in the post and he should be able to develop into a shot blocker / changer / intimidator … Shows a good body to add weight, and his toughness is also not a big area of concern and should improve along with his strength, over time … ",": He needs to bulk up his upper body, in order to be able to withstand the extra physicality at the NBA level … Lacks great leaping ability, though his length helps … His shooting range is limited to the painted area, and needs to be expanded … Mostly faces the basket and needs to work on his back to basket moves … He lacks a jump shot from the midrange and also is predictable and mechanical in his moves, lacking fluidity, even though he’s pretty reliable from the free throw line … His offensive movements are rather raw, he needs to add confidence to his game, sometimes he seems too stiff and mechanical … He’s able to take post position effectively but he still lacks a safe and reliable go to post move … He’s a reliable rebounder but with his physical tools he could be even better … He has a mild demeanor, sometimes he appears to play with a reduced gear, lacking much competitive fire … At times, his lack of a great feel for the game becomes apparent as he fails to recognize plays before they develop or doesn’t finish off plays with enough aggression …  ",7-2,238,C,France,Intl.,2013
Jamaal Franklin,": Franklin was the head of the snake for SDSU’s attack on both ends of the court … Standout length and activity level from the wing position … High school high jumper. An explosive leaper off one-foot behind a head of steam … Scoring average soared from 2.9 as a redshirt freshman to 17 as a junior, with feel for the action maturing dramatically in a short period of time … Excellent mid-range stoke was on full display during opening weekend of the NCAA Tournament, off the dribble and the catch … Innate cleverness finding buckets in the lane; uses his body to create release angles and cut off angles for defenders to disrupt … Deceptive strength hiding behind those long sleeves- arrived on campus at 165 lbs. currently up to 205 … Initiates and sells contact, gets to the free throw line nearly 7 times per game and converts there … 38% score efficiency in ISO situations, specifically driving right from the top of the key (62%) … Exhibits high IQ moving away from the ball, thriving as a slasher/cutter/lob recipient … He has a knack for making plays in late clock situations and simply “finding a way”. The 28th leading rebounder in the nation at 9.5 per game, tied for 2nd amongst guards. Rebound and push. Did a better job of keeping his head up on penetration and finding open teammates as a junior (3.3 APG). A high-energy defender with alluring physical traits and 2/3 position versatility. He utilizes his length to play passing lanes aggressively (1.6 SPG). Despite being a master of nothing, brings many positive attributes to the floor … He will turn 22 in July … ",": Some scouts question how well Franklin’s game translates to the NBA level … Described by detractors as a wild, undersized (6’5) combo forward that overpowers lesser athletes for mostly garbage baskets … Doesn’t seem to be able to fully utilize his explosiveness in game situations (with contact) … A far less dynamic athlete with ball in hand. Dribbles too upright and has difficulty turning the corner against pressure … He gets by defenders as a result of length more so than elite quickness … Does not convince that he possesses full trust in his handles or off-the-dribble repertoire … Too much settling: 33% of isolation opportunities resulted in a jumper (not including pull-ups); despite shooting just 28% from three-point range attempted 4.5 per game … Often forced into bizarre shot selection because of inefficient team offense … Jump shot lacks elevation with feet spread far apart … Surprisingly inefficient in transition at 0.9 PPP when commanding the break … Not a natural playmaker and frequently careless (3.4 TO) when taking matters into his own hands … His breakdown skills are unlikely to translate to the NBA level. Becoming a more consistent spot up shooting threat (30.1% FG) will be required to accompany his potential as a perimeter defender … Length enables him to hound the ball, but lateral quickness and change of direction are average … On court incident flipping off a fan, and reports came out (on college website) that he actually flipped off a ref after a charge call, which he denied, during first half of New Mexico game. Incident has not helped his cause as a character guy. Something he will no doubt have to account for during interview process … His interviews will likely be instrumental in whether or not he lands in first round … ",6-5,191,SG/SF,San Diego St.,Jr.,2013
Andrew Wiggins,": Off the charts run/jump athleticism … Lateral quickness and length also gives him great potential as a perimeter defender, along with versatility to guard both wing positions efficiently … Incredibly dangerous in transition opportunities, long strider with a quick first step, did a great job of scoring or getting fouled when getting out in transition … Shooting mechanics have improved greatly, with quickness enough to get his shot off under tight defense … Got to the FT stripe at a good rate, making 77.5% of his attempts … As an offensive rebounder, can keep possessions alive that very few others can due to his second jump and tremendous leaping ability … Challenged defensively at Kansas, often asked to guard the other teams leading scorer on the wing, doing an admirable job … Unselfish, will look for teammates and is an evolving playmaker … Spin move can become a major weapon in isolation, plus has shown a floater that over time could become a weapon … When being closely defended, his step back jumper has also been a move that is tough to guard … Plays with a quiet intensity and while some question his lack of emotion, also never gets to down … When he has been challenged, has shown an ability to step up to the challenge … Son of a former NBA player and an Olympic sprinter, has an understanding of the game and a knowledge of where to get to on the court … Conditioning is fantastic, played major minutes as a freshman and should be able to carry a solid work load immediately … Ability to run the floor is elite and ensures a certain level of success at NBA level …  Very skinny but has the broad shoulders to add weight if he’s determined to … Showed an increased understanding of his role and got much lower on defense as the year progressed at Kansas, looks to be quite coachable … Aside from a poor final tournament game, seemed to be playing his best basketball as the season came to a close, including a huge 40 plus point breakout performance against West Virginia …  ",": The biggest issue is whether or not Wiggins has the mental make up to maximize his immense physical gifts. While some scouts are extremely high on him, there are just as many that question his focus and passion for the game … Often plays too upright on offense, which can get him off his base and lead to turnovers … Needs to work on moving without the ball, has a reputation of sometimes standing, ball watching … Defensive awareness is something he must work on, along with always running out to his spot and not relying completely on length, athleticism to challenge a player … Still needs to add upper body strength, had issues finishing around the basket and getting knocked off of his spot when defensive rebounding … Long range shot is still not overly consistent, sometimes turns his hand outward on follow through … Often loose with dribble, sometimes has the ball too high and gets exploited when double teamed … Some question his lack of assertiveness offensively, which calls into question his ability to be a primary option on a high level team … Battled inconsistency and struggled against physical defense, which could point to strength as well as a sign of shaky confidence … Should look to become a more vocal leader … Too often settled for long range shots and did not venture out of his comfort zone enough, still has many things to learn in terms of creating mid range shots and counter moves … Had a difficult time establishing post position, something that could be a crucial next step to utilize his quickness and size as a wing at the next level … Has been compared to Kobe Bryant, but the biggest difference appears to be the attention to detail. So far, granted Kobe’s is extremely rare, Wiggins has been lacking in this area. Will he develop this critical aspect in order to polish his all around game to achieve greatness?  ",6-8,200,SF,Kansas,Fr.,2014
Jabari Parker,": Parker is on another level from his peers, skill wise … Very strong, bulky forward with elite level face up game for his age … An underrated athlete; Parker plays a smooth, if not overpowering brand of ball, and  is more likely to muscle through opponents than blow by them … Possesses very good hands … Shows the ability to grasp nuances of the game … Has a passion for basketball, and this comes out in his play … A la Paul Pierce, is especially good at step back jumper, and can do it in both directions … Creates a ton of separation with his step back … Can go to work in the post, especially against smaller and weaker defenders … Will likely be developed as a small forward in the NBA, where he will immediately become one of the largest and strongest at this position … Work ethic is phenomenal … Really wants to be a leader; wants to be great … Even in high school, practiced with the focus of a pro … Has been a winner every step of the way of his career; won four straight Illinois State Titles in high school … Can create for teammates thanks to his high basketball IQ and overall play making ability … Commands so much attention from opposing defenses that teammates will find themselves with more opportunities to receive the ball in a position to score with him on the floor …  Can finish with both hands around the hoop … Solid, but not great ability to knock down the NBA 3-ball … Had some impressive dunks in his freshman season at Duke, which proved that he does possess the hops and explosiveness that he often does not get credit for … Also showed surprising body control and ball handling, weaving through defenders for finishes at the rim in the open floor …  ",": Defense and position are the two biggest questions with Parker … Some wonder whether he is quick enough to guard on the perimeter, or if he is long enough to defend the post … Has been given the ""tweener"" label that no draft prospect wants associated with his name … Appears to carry some extra ""baby fat"" … Somewhat slow release on the jumper, and it has a hitch; may need to tweak release to improve scoring opportunities against athletic defenders who match his size … Can he expand his range to be a reliable 3-point shooter? … Was asked to play in the post defensively for Duke, which may lead to an even bigger learning curve for Parker as he improves his understanding of how to guard wings in the NBA … Not a particularly crafty defender; surprising given how intelligent an offensive player he is … ",6-9,240,SF/PF,Duke,Fr.,2014
Joel Embiid,": The sculpted Embiid has a prototypical body for an NBA center, standing 7 feet tall, with a 7.5-foot reach, and weighing 250 pounds. He could use more muscle, but his frame should have no trouble bearing the additional bulk … Posted outstanding per-40-minutes numbers in his lone season at Kansas, averaging 19.4 points, 14 rebounds, and 4.5 blocks … An agile and mobile center, with nimble feet, good speed, great quickness, and vertical explosiveness … Excellent around the rim, scoring regularly on put-backs and alley opps.  According to Hoop-Math.com, Embiid made 76.3 percent of his attempts at the rim this past season…  His offensive game is still a work in progress, but the potential is there.  His offensive arsenal includes very quick drop-steps, jump hooks, and turn-around jumpers … Uses a variety of ball and body fakes to create space for his shot, including the renowned “Dream Shake.” … Draws a bunch of fouls (8.8 per 40 minutes), and makes a respectable 69 percent of his free-throw attempts … An active and aggressive weak-side defender …  Covers a lot of ground with his length and huge strides … Stats don’t tell the full story – on the defensive end, he alters a number of shots and is generally disruptive … Not timid – willing to put a body on someone and mix it up in the paint …  Sets solid screens … Doesn’t panic when double teamed …   ",":  Embiid had trouble staying on the floor, either due to injuries or foul trouble.  In a total of 28 games at KU, he played fewer than 20 minutes 10 times and more than 30 minutes only three times … Questionable durability – this past season, he missed one game (Feb. 15) due to a knee injury, played in the four following games, and then was shut down for the rest of the year due to a stress fracture in his lower back. He also dealt with lower back issues as a senior in high school … Averaged a whopping 5.9 fouls per 40 minutes at KU … Lacks both offensive and defensive awareness … Averaged 4.2 turnovers per 40 minutes at KU …  Defensively, he frequently focuses too much on the ball and loses track of his man … Was at times pushed off the block by bigger centers … Seems to get frustrated when not heavily involved in the offense or not making his shots.  At those times, his play appears to be a bit lackadaisical …  ",7-0,250,C,Kansas,Fr.,2014
Dante Exum,": The 18-year-old Aussie is a fluid and versatile athlete, who shows a great deal of potential … Good size for a guard, and should fill out nicely over time …  Excels at getting to the basket and drawing fouls … Finishes through contact and can score with either hand …  Excellent body control allows him to make very acrobatic shots at the rim … Opposing defenders are constantly off-balance due to his effective hesitation moves and explosive first step …  Moves well without the ball – makes good use of screens and does it at a relatively high rate of speed … Can create scoring opportunities for both himself and his teammates … Just scratching the surface in certain areas of his game – effective at making floaters, shooting off the step-back and posting up, but does not use these skills very often … Improving as an outside shooter – smooth and elevates well off the dribble … Very versatile – used at the 1, 2, and 3 spots … An active and alert team defender – his length and speed allows him to cover a lot of ground … Comes up with a lot of steals and loose balls … Does a little bit of everything, and is willing to do whatever is needed to win, including setting screens and mixing it up in the paint … A good kid – is coachable, affable, grounded, humble, and intelligent …  ",": Level of competition is the biggest knock against Exum. He has not proven himself against a high enough level of competition to make anyone feel completely comfortable drafting him in the top 5 … Some of his best performances have come in games (Under 19 World Championships) where he appeared to be one of the most physically advanced players … Playing for the Australian National Team, he was given free reign to create offense for himself. Can he be as succesful without being given the same level of freedom? … Exum has played off the ball a lot, and he doesn’t appear ready to be a true point guard … His handle is loose at times – has the ball poked away too often and occasionally fumbles when changing hands or directions … Not an exceptional facilitator – makes too many ill-advised passes … Inconsistent outside shot – does not always get enough elevation and has a low release point, especially when his feet are set (catch-and-shoot) …  Trajectory on his shot appears flat at times … Settles for long-distance threes too often … Not vertically explosive and struggles to finish with authority. For a player who thrives off of beating defenders off the dribble, his lack of ability to explode and finish with the best of them is concerning … Tends to drive to the left and shoot with his right … Struggles at the free-throw line, shooting around 65% in International competitions … Can he develop his body and become a tough player capable of finishing with contact?   ",6-6,196,PG/SG,Australia,Intl.,2014
Aaron Gordon,": A very athletic and versatile PF … Is a very active and energetic type of athlete, showing great leaping ability and explosiveness … Plays with a high motor… Physically lean, but is a wiry strong player who doesn’t  shy away from contact … Shows a very good nose for the ball … Always must be accounted for on box outs, as he is a very good offensive rebounder and shows an outstanding 1st and 2nd jump … High IQ player, who plays to his strengths and generally makes quick and precise decisions … Is an excellent passer for a guy who is generally considered a PF prospect (2 apg as a Fr.), and is a good decision maker as well … Moves well without the ball around the rim, and makes himself available for easy buckets … An alley-oop magnet with huge suction cup hands …Usually finishes with authority … Has a good enough 1st step to sporadically create his own shot on straight line drives to his right … Impressive defensive skills … Defended some at every position while at Arizona, and generally was excellent considering his relative inexperience … Contests every jump shot and is very disciplined on closeouts … Adequate shot-blocker … Understands the concept of help side defense better than a typical young player, which should allow him to play minutes immediately in the NBA … Very focused … An extremely well-conditioned athlete, who rarely gets tired or makes “lazy” plays … Seems like a great glue guy and role player, and isn’t the type of player who needs a lot of plays run for him to be effective … Will fit in well on a team in need to energy and athleticism … Pretty competitive player who doesn’t show a lack of effort often, which will always please his coaches … Still extremely young, won’t turn 19 until about a month or so before the 2014-2015 season … ",": Gordon’s main weaknesses revolve around his lacking skill level on the offensive side of the ball …Despite being the 2nd leading scorer on an Arizona squad that almost made it to the Final 4, Gordon needs extensive improvement offensively … His ball-handling ability is not very good right now, and he loses significant effectiveness the more he dribbles the ball … Rarely looks comfortable with his back to the rim … Not blessed with a soft touch, which suggests he will continue to have his struggles as a jump shooter, and from the line … Doesn’t seem to have a lot of range on his shot, even though he can occasionally hit 22 footers … Struggled mightily at the foul line in his only year in school (42%) and needs to work on his form, develop a little more sense of urgency and develop a set routine which replicates his mid range shot, and eliminates the ""long pause"" … Has a very deliberate and slow shot, sometimes it looks like the ball barely rotates when he shoots … Physically, Gordon has adequate height and strength, but he could use a little more bulk to his frame … Could get sealed by bigger PF’s in the NBA due to his narrow frame … Not particularly lengthy … Some consider Gordon a bit of a tweener, it will be interesting to see what type of body weight he can ultimately carry comfortably … Was determined to show that he was a small forward, but scouts view him strictly as a 4 for the next level … Needs to work on his footwork, as he picks up traveling calls often when trying to create … Has high/tight hips and it sometimes shows in his lateral movements … Has a very awkward running style, and while some compare it to Rodman with the way he runs on his toes, Gordon’s extremely short stride has drawn some concerns … Though very good on the offensive glass, Gordon sometimes shows raw awareness on the defensive glass and will forget to box out or be in the wrong places when the ball has been shot …  ",6-9,220,PF,Arizona,Fr.,2014
Marcus Smart,": Strong, heady point guard with great size and instincts…Uses his mixture of quickness, strength, instincts, and aggressiveness to get to the rim, then uses his big frame and excellent body control to finish through contact…In addition to his scoring ability, Smart doubles as an excellent passer and playmaker.  He has great court vision and is willing to make the unselfish play to set up his teammates.  Averaged 5.8 assists per 40 minutes last season…Very sound perimeter defender who has the length (6’8"" wingspan), the strength, and the lateral quickness to keep his man in front of him.  Plays hard and harasses ball handlers into making bad decisions…Draws multiple defenders on his drives, then has the alertness to kick it out to an open teammate for a 3…Ball-hawking defender who averaged around 3 SPG throughout his college career.  Once again, his big wingspan helps him terrorize the passing lanes…His aggression and power allow him to get to the line at an excellent rate.  Shot over 8 free throws per game last season in just over 32 MPG…Great rebounding point guard due to his size and strength.  Averaged nearly 6 rebound a game last season…His height and his strength also allow him to post up smaller point guards and finish inside…Loves to get out in transition and has the vision and finishing ability to make him elite at running the fast break…Can play with guard position and can also defend multiple positions due to his size/quickness combo…Has a nose for the ball.  Will dive on the floor to get loose balls and will rip it out of the offensive player’s hands from time to time…Shows flashes of greatness in the pick-and-roll as both a scorer and a passer…Outside shot can be effective when Smart is on his game, making him a great inside-outside weapon…Makes winning plays.  His decision-making is excellent and he is great at balancing setting up teammates and making a scoring play himself…Raised his PPG (18.0 to 19.9) nearly 2 points per game in games against ranked opponents last season…Great motor and energy.  Puts it all on the line every minute of every game and always plays with intensity and competitiveness…Has that other-worldliness, always-in-control, do-what-it-takes-to-win, elite factor that a select few point guards (Kemba Walker, Trey Burke) in recent drafts have exhibited… ",": Not a great outside shooter.  Only made 29% from distance last season.  Needs to polish his mechanics and hit on a more consistent basis.  Struggles mightily on jumpers when guarded.  Release slowed by bringing the ball down to his knees before rising up and releasing.  Simply needs to be more consistent with his shot mechanics…Opponents will find it easier to stay in front of Smart because they don’t have to guard him as tight and respect his jumper…Not a very efficient scorer.  Needs to take smarter jump shots and not settle for pull-up threes…Could stand to be more patient and unselfish rather than forcing it and becoming dead-set on taking a shot at times…His assist/turnover ratio of 1.78 is not great.  Could certainly cut down on turnovers and be more patient on offense.  His aggression can sometimes be a weakness.  It also leads to offensive fouls on occasion…Mediocre ballhandler, another source of his turnover problems…Uses his physical gifts well, but ultimately doesn’t have great athleticism…Free throw percentage dropped from 78% to 73% between his freshman and sophomore seasons…Interestingly enough, Smart’s knack for making winning plays did not generally carry over to crunch time.  In 7 Cowboys games that Smart played in this season that were decided by 3 or fewer points or in overtime, Smart shot a mere 3/14 (21%) from the field in the final two minutes and overtime of those games.  He also missed several free throws in that span…Can be a bit of a ""flopper""…Smart’s teams have lost in their first game in the NCAA Tournament in each of the past two years, despite being expected to win both times.  The Cowboys also went on a big-time skid to end the Big 12 regular season, due, in part, to Smart’s suspension and inability to right the ship as the team point guard and star player…NBA scouts will have the Texas Tech incident fresh in their minds, when Smart lost his cool and shoved a fan, earning him a three-game suspension.  Smart doesn’t always maintain his composure, which can force him to make bad decisions both in and out of gameplay, and doesn’t always have a grey attitude or body language on the court.  This incident could have scared away a few teams at the top of the draft… ",6-3,227,PG,Oklahoma State,So.,2014
Julius Randle,": Very strong upper body and a reliable left hand … He shows a strong motor, and finishes well around the rim with contact … He is very skilled with his face up game and has shown some creative finishing ability … He is very dangerous on P&R and Pick and Pop, because of his ability to hit mid-range jumpers … Though he lacks elite explosiveness, he is able to use his strong frame to protect the ball and avoid blocks … On the offensive boards he is an absolute beast, relentless in seeking out rebounds … The same thing is true on the defensive end where he has natural instincts for rebounds … A pretty good post defender, he uses his strong body to not allow taller opponents to get close to the rim … He doesn’t have the quickest feet in the world, but definitely really good for a big, very balanced … Potentially he can switch on P&R situations for a couple of dribbles, but needs to improve on his showing … Randle is a mix of power, skills and balance that makes him a very interesting prospect … Despite being just a freshman he could have an immediate impact in the NBA due to his strength and offensive skills … He has drawn positive reviews for his attitude and coach-ability and appears to be a hard working kid that leaves everything on the floor every game and every practice … ",": Despite all the good things mentioned about his game there are a lot of concerns about Randle … In a way Randle’s high energy, ""bully ball"" style of playing reminds some of how Shabazz, at a different position, overpowered people last year and we’ve seen how much the former UCLA small forward has struggled in the league … It’s been noted that Randle is undersized for the PF position, lacking ideal length with a sub 7 foot wingspan … He may struggle to create looks against stronger, more athletic and taller opponents in the post … Offensively his numbers on synergy indicate how difficult it has been for him to score on post moves with very low percentages on each low post block and over either shoulder … It also doesn’t help matters that he is not able to utilize his right hand … Very few, even highly talented, players are able to play at high level without being able to finish and make moves with both hands, as the book becomes well known and everyone overplays their strength. I’m not sure if Randle fits this category, but the fear is there … His shooting isn’t consistent and despite good mechanics, his percentages are low and 3pts range is non-existent … He will have to develop a consistent solid jumpshot to replicate the success of Zach Randolph and Michael Beasley when facing the basket … Overall his game right now is based almost entirely on overpowering weaker opponents … He is very skilled but it will be hard to find the same success overpowering post players in the league. Also it is worth considering that most of Randle’s game is below the rim … His future will likely hinge more heavily than most prospects on landing in the right system, where a team has a vision of how to utilize him and makes sure he stays focused and works hard on the right skill development … A bad team or loss or focus could pose a huge risk to his NBA career … ",6-9,250,PF,Kentucky,Fr.,2014
Noah Vonleh,": Ideal PF size with very long arms and the skill set that had many envisioning him as a wing while in high school … Has shown flashes of potential to stretch the defense, as well as a rapidly developing post game, helped by his solid frame … Will not be 19 until August, which again brings to mind the potential growth his body and game could go through, along with the fantastic size and coordination he already possesses … Was a great rebounder during his freshman season, very aggressive on both ends of the floor hitting the glass … Gets out on the break and runs very well for his size. Shows very good mobility for a player with his size and strength, moves his feet especially well considering his thick, tree trunk legs … His combination of length, size and mobility made him a factor on that side of the floor, along with having major upside on that end with increased experience, awareness … Showed a good shot selection, shot a high percentage from the field and line, even showing ability out to three point range that could be developed down the line … Surprising ability to put the ball on the floor with decent mobility, along with range that should have defenders respecting his shot … Gets to the line fairly often and shot 71.3% FT as a freshman … Definitely passionate about basketball, has shown a will to improve and put in work … Cerebral kid. Is described as a gym rat, constantly looking to add to his game and made definite strides from senior year of HS to his freshman year of college … Though he is not an elite leaper, his length makes him a shot blocking and shot changing force … ",": The same youth and inexperience that makes him so intriguing might also mean a rougher transition to the pro game … Seems to lack a great feel and often appears to be ""thinking"" instead of just reacting and playing instinctively … Confidence is still an issue. Despite possessing great offensive tools, he took relatively few shots for a team banking on him to be a 2nd scoring option … Relies more on length than athletic ability, could also be questions about whether adding additional weight slows him down even more than it has seemed to since growing into the 4 spot … Needs work on his low post footwork, still adjusting to life as a PF as opposed to playing on the wing … On court awareness on both ends is still a work in progress, sometimes he lacks a bit of focus which could be attributed to lack of confidence and inexperience … Got into foul trouble fairly often, needs to play defense more with his feet than his arms … While his offensive skill set is tantalizing, some question whether he will develop the killer mentality that would make him into a viable top scoring option … Though his range projects to be a strength, he still needs work on being a reliable midrange and distance shooter … Turned it over quite a bit, which goes along with developing more court awareness ",6-9,247,PF,Indiana,Fr.,2014
Doug McDermott,": Unbelievable scoring skills … Is aided by his outstanding shooting touch and “easy” shooting stroke … Deep range as a shooter … Has a textbook form to his shot, and squares his shoulders to the basket almost instantaneous when he attempts jumpers … Shows a very quick release and has the ability to quicken his release against closeouts … Has great footwork … Able to hit shots from deep with his feet set and off screens, and is also extremely effective with pull-ups … Polished mid-range player … Has a nice array of subtle moves he uses to give himself space from defenders closing out on him … Good fadeaway shot … Likes to shoot the Dirk-esque 1 foot fall away jumper, and is very effective at doing so … A coaches son who plays with a high IQ, and shows very good savvy and feel for the game … Very efficient player, was a career 50-40 player from the field and 3 respectively … Makes good decisions when moving without the ball, and did a good job getting easy baskets off cuts to the hoop … Rarely seems to press for his shots … Willing to make hustle plays … Plays a fairly tricky game that makes him a tough matchup to contain offensively … Good amount of floaters and runners in his arsenal … Slashes to the rim with a low center of gravity … Pretty strong … Though he is stuck between the forward positions, his post game could work to his advantage fairly often depending on matchups … Runs the floor better than most would think, and will run-out for easy baskets at the rim after missed shots … A good “trailerman” shooter in transition … Was one of 2 players (the other was Marcus Smart) invited to the Team USA mini-camp in 2013, and reportedly fared well enough to encourage scouts about his ability to translate to the NBA … Really good free throw shooter … Generally decent rebounder … Uses his body and the rim effectively to shield shot blockers when finishing around the rim … Improved his ability to create off the dribble substantially throughout his college career … Has some post game too, showing a good jump hook with his right … Tough to ignore his consistent dominance scoring the ball throughout his entire career at Creighton, despite his other limitations … More athletic than he appears as he showed with a 36.5 max vertical at the NBA combine …  ",": McDermott’s athletic and physical limitations place questions about how he will translate to the NBA … Is not a very explosive or quick player, with average leaping skills … Is a tweener due to his lack of height, and his 6’6 ¼ height measurement without shoes in the combine did little to help his cause about answering questions about his ability to spend time playing the PF position at the next level … Lacks athleticism for the SF position, and not tall or long enough to play consistently at PF … Will have to rely heavily on timing and positioning to be effective at the next level … Gets his shot blocked quite a bit around the rim, and becomes much less effective the longer he has the ball in the post … Hard to imagine him getting daylight like he did at Creighton on his some of his shot attempts considering his fairly pedestrian physical skills and athleticism … How effective he becomes will depend directly on the system he goes to and exactly how his coach plans to use him based on game-to-game matchups … Had his share of struggles vs teams with true NBA athleticism in his college career … Has some weaknesses against long and athletic defenders … Can be rebounded and shot over a bit too often … Makes no impact whatsoever on the defensive end of the ball … Has posted alarmingly low steal and block numbers throughout his career for a projected frontcourt player, and that does not figure to improve at all in the NBA … Will his coaches ever look past the fact that he is a fringe defender? … Doesn’t pass the ball often … ",6-7,220,SF,Creighton,Sr.,2014
Nik Stauskas,": Pure shooter with a picture perfect stroke and excellent range (44% career 3 point shooter) … Gets his feet set quickly and gets solid elevation on his jumper. Long arms also help him to get his shot off … Crafty, cerebral player who maximizes his athletic ability. Good at making adjustments during plays … Fiery competitor. Appears to lack a conscience and does not shy away from the limelight … Very smooth offensive game. Shows the ability to spot up for shots, as well as get shots off the dribble and has shown a solid ability to hit shots without much daylight … Improved considerably from FR to SO season. To his credit has worked hard to expand his game beyond just shooting, becoming a solid pick and role facilitator, even running the point during stretches in his sophomore year … Surprising leaper off of two feet and if he gets an open lane to the basket, uses his excellent length for some exciting two handed finishes at the rim … Ball handling is good for 2 guard … Has embraced the role of go to scorer and become the #1 option for Michigan this season … Solid a/to ratio shows good decision making and ball protection … Could fill the role of a 3 point shooting specialist, a la Steve Kerr, if his shot remains as effective from NBA 3 … ",": Although he’s viewed as more than just a shooter, his lack of overall speed could relegate him into being a one dimensional (spot up threat) pro … Not the most fluid of athletes. Lack of foot speed and overall quickness will make running defenders off screens to get open more challenging. This also affects his on ball ability to get by athletic defenders, and create shot opportunities … While his level of foot speed makes him very effective against college athletes, there is concern that he may struggle to find the same success against bigger, stronger, quicker athletes. Has been less effective when matching up against top shelf opposing guards. Lacks physicality. Gets pushed under the basket on drives easily. Has had a few games where he has been completely shut down (0-2 fg, 4 pts vs Duke) … Struggles on the defensive end against stronger and quicker opponents … Lack of foot speed hurts defensively … A good leaper off of 2 feet, but lacks a high level of overall run/jump athleticism and lateral speed … Body appears to be filled out, so how much stronger his legs and overall body can get are questionable … ",6-6,207,SG,Michigan,So.,2014
Elfrid Payton,": Tall, quick and talented offensive point guard … Deadly first step and killer crossover allow him to get to the basket seemingly at will … At 6’3"", has ideal size for a point guard … Quick hands and great defensive instincts allow him to get a ton of steals. Has averaged 2.4 per game over the past 2 seasons … Great in transition. Good finisher at the rim …Very athletic, is able to play above for highlight finishes … Good defender who shows a lot of defensive potential with his length (6’7"" wingspan) and quickness (lateral speed) … Effective pull-up jumper, though needs to add range and consistency … Seems to raise his game against good competition, as he did at the USA U19 tryouts and with his 20 points and 7 steals against Keith Appling and Michigan State last season … Improving court vision … Strong rebounding point guard … Gets to the line at a good rate (9.5 attempts per game) … Though a junior, he’s a year young for his grade giving him added intrigue … ",": While his jumper isn’t horrible, he needs to improve his consistency and range from the outside to diversify his game … Not a factor from behind the arc at this point … Subpar free throw shooter for a point guard, at under 70% on the year … Can drive to the left, but generally finishes with his right hand, no matter which side of the basket he is on. Should work on becoming an ambidextrous finisher … Needs to put on more muscle to absorb contact in the lane … Can play slightly out-of-control at times.  Currently averaging 3.8 turnovers per game this year, although his assists have risen this season … ",6-4,185,PG,Louisiana Laf...,Jr.,2014
Rodney Hood,": Solid athlete and left handed wing scorer that can score from all three levels … Really strong shooter from both the outside and midrange, stretches the floor …  First step is strong and can take defenders off of the dribble … Capable passer who has some play making ability, unselfish … Solid conditioning, able to stay on the court for long periods of time … Has definitely put in a lot of work on his body and gained significant amount of weight during time in college without losing speed in the process … Range looks to be out to NBA 3-pt range, while shooting over 80% FT as well … His length is not tremendous, though has good size for a SF regardless … Has versatility to maybe play wing guard as well as showing some perimeter defensive ability … Will finish with either hand and is a threat near the basket … Lets the game come to him, rarely forces the issue and plays under control … Will take advantage of height advantage to post smaller wings … Gets shots in a variety of ways, through cuts, spot-up and even can be a threat off the step back … When he is focused, can be a disruptive wing defender due to his size ",": Though he has worked on his body, he still has a slight frame and needs to add upper body strength, which would allow him to play tougher … Vast majority of offense comes as a shooter, definitely affected by lack of girth in his hesitation to drive … Not a great rebounder, which again points to strength … Length is not exceptional and also may contribute to issues on the boards and possibly defensively at the NBA level … At times he’s not assertive enough, settling for jump shots rather than trying to use his size, speed and handle to his advantage … Averaged very few offensive rebounds, especially on a team that was missing size and could have used them … Defensive effort is questionable at times and must work on awareness at that end … Relatively low rate of getting to the FT stripe for how much he had the ball … Though he is a sophomore, his age is actually in accordance with being an older junior … Consistency as a go-to scorer still largely inconclusive, does he have the confidence and muscle to take on a sizable scoring load at the next level? ",6-8,208,SF,Duke,So.,2014
